player_id,player_name,pos,foot,birth_date,weight,height,team,gols,assistencias,soma_gol_assist
8717,H. Kane,FWD,right,19930728,86,188,England,7,0,7
4513,D. Cheryshev,MID,left,19901226,74,179,Russia,5,0,5
8287,L. Modrić,MID,right,19850909,66,172,Croatia,4,1,5
7905,R. Lukaku,FWD,left,19930513,94,190,Belgium,4,1,5
353833,K. Mbappé,FWD,right,19981220,73,178,France,4,0,4
3322,Cristiano Ronaldo,FWD,right,19850205,83,187,Portugal,4,0,4
3476,I. Rakitić,MID,right,19880310,78,184,Croatia,3,0,3
14812,I. Perišić,MID,right,19890202,80,186,Croatia,3,1,4
3682,A. Griezmann,FWD,left,19910321,71,175,France,3,2,5
14943,M. Mandžukić,FWD,right,19860114,84,187,Croatia,3,1,4
25707,E. Hazard,FWD,right,19910107,74,173,Belgium,3,2,5
101669,A. Dzyuba,FWD,right,19880822,91,196,Russia,3,0,3
4338,Diego Costa,FWD,right,19881007,85,188,Spain,3,0,3
21174,E. Cavani,FWD,right,19870214,71,184,Uruguay,3,0,3
256634,Y. Mina,DEF,right,19940923,75,195,Colombia,3,0,3
69411,A. Kramarić,FWD,right,19910619,73,177,Croatia,2,0,2
9380,J. Stones,DEF,right,19940528,75,188,England,2,0,2
69396,D. Vida,DEF,right,19890429,73,184,Croatia,2,1,3
8945,K. Trippier,DEF,right,19900919,72,178,England,2,1,3
3802,Philippe Coutinho,FWD,right,19920612,68,171,Brazil,2,2,4
7972,L. Suárez,FWD,right,19870124,86,182,Uruguay,2,1,3
40810,Neymar,FWD,right,19920205,68,175,Brazil,2,1,3
101583,S. Ignashevich,DEF,right,19790714,84,187,Russia,2,0,2
21275,A. Granqvist,DEF,right,19850416,84,192,Sweden,2,0,2
3450,R. Falcao,FWD,right,19860210,72,177,Colombia,2,0,2
8325,S. Agüero,FWD,right,19880602,70,173,Argentina,2,0,2
14836,T. Inui,MID,right,19880602,63,169,Japan,2,1,3
20751,J. Cuadrado,MID,right,19880526,71,179,Colombia,2,1,3
257800,A. Golovin,MID,right,19960530,69,180,Russia,2,2,4
101606,A. Musa,FWD,right,19921014,66,171,Nigeria,2,0,2
14911,Son Heung-Min,FWD,right,19920708,77,183,Korea Republic,2,0,2
25776,W. Khazri,MID,right,19910208,76,182,Tunisia,2,2,4
120353,Mohamed Salah,FWD,left,19920615,72,175,Egypt,2,0,2
8653,H. Maguire,DEF,right,19930305,79,188,England,1,1,2
48,J. Vertonghen,DEF,left,19870424,88,189,Belgium,1,0,1
122,D. Mertens,FWD,right,19870506,61,169,Belgium,1,1,2
261,N. Chadli,MID,right,19890802,80,187,Belgium,1,1,2
3309,R. Varane,DEF,right,19930425,81,191,France,1,0,1
397178,M. Rashford,FWD,right,19971031,72,187,England,1,0,1
69616,A. Rebić,FWD,right,19930921,78,185,Croatia,1,0,1
38021,K. De Bruyne,MID,right,19910628,68,181,Belgium,1,2,3
7934,J. Lingard,MID,right,19921215,65,174,England,1,1,2
210044,E. Dier,MID,right,19940115,90,188,England,1,0,1
69968,M. Brozović,MID,right,19921116,68,181,Croatia,1,0,1
123,O. Toivonen,FWD,right,19860703,78,192,Sweden,1,1,2
37824,T. Meunier,DEF,right,19910912,82,190,Belgium,1,2,3
101707,F. Smolov,FWD,right,19900209,80,187,Russia,1,0,1
40550,Paulinho,MID,right,19880725,71,182,Brazil,1,0,1
7936,P. Pogba,MID,right,19930315,84,191,France,1,0,1
8249,M. Fellaini,MID,right,19871122,85,194,Belgium,1,0,1
340646,B. Pavard,DEF,right,19960328,76,186,France,1,0,1
13484,D. Alli,MID,right,19960411,80,188,England,1,0,1
41123,Mário Fernandes,DEF,right,19900919,80,187,Russia,1,1,2
51132,E. Forsberg,MID,right,19911023,78,179,Sweden,1,0,1
51217,L. Augustinsson,DEF,left,19940421,75,181,Sweden,1,0,1
20394,Thiago Silva,DEF,right,19840922,79,183,Brazil,1,0,1
220971,D. Kuzyaev,MID,right,19930115,74,182,Russia,1,0,1
25397,S. Umtiti,DEF,left,19931114,75,182,France,1,0,1
3306,Sergio Ramos,DEF,right,19860330,82,184,Spain,1,0,1
3353,Iniesta,MID,right,19840511,68,171,Spain,1,1,2
3359,L. Messi,FWD,left,19870624,72,170,Argentina,1,1,2
3563,Isco,MID,right,19920421,79,176,Spain,1,0,1
3685,C. Vela,FWD,left,19890301,77,177,Mexico,1,0,1
102157,Y. Gazinskiy,MID,right,19890720,75,184,Russia,1,0,1
7941,J. Hernández,FWD,right,19880601,73,175,Mexico,1,1,2
15808,Roberto Firmino,FWD,right,19911002,76,181,Brazil,1,0,1
295156,H. Lozano,FWD,right,19950730,70,177,Mexico,1,1,2
49872,X. Shaqiri,MID,left,19911010,72,169,Switzerland,1,1,2
49876,G. Xhaka,MID,left,19920927,82,185,Switzerland,1,0,1
3305,Pepe,DEF,right,19830226,81,188,Portugal,1,0,1
3341,Piqué,DEF,right,19870202,85,194,Spain,1,0,1
21169,B. Džemaili,MID,right,19860412,73,179,Switzerland,1,0,1
91019,J. Quintero,MID,left,19930118,64,169,Colombia,1,2,3
94831,Y. Ōsako,FWD,right,19900518,71,182,Japan,1,0,1
227894,J. Giménez,DEF,right,19950120,77,185,Uruguay,1,0,1
101592,K. Honda,MID,left,19860613,76,182,Japan,1,1,2
3840,Iago Aspas,FWD,left,19870801,67,176,Spain,1,0,1
69400,M. Badelj,MID,right,19890225,76,186,Croatia,1,1,2
37948,A. Finnbogason,FWD,right,19890201,80,184,Iceland,1,0,1
8306,A. Kolarov,DEF,left,19851110,83,187,Serbia,1,0,1
8625,V. Moses,MID,right,19901212,75,177,Nigeria,1,1,2
240032,J. Bednarek,DEF,right,19960412,77,189,Poland,1,0,1
77558,G. Sigurðsson,MID,right,19890908,77,186,Iceland,1,0,1
209354,F. Ben Youssef,FWD,right,19910623,82,192,Tunisia,1,0,1
79149,K. Ansarifard,FWD,right,19900403,75,186,Iran,1,0,1
14723,T. Kroos,MID,right,19900104,76,183,Germany,1,0,1
14785,Renato Augusto,MID,right,19880208,86,186,Brazil,1,0,1
14816,S. Kagawa,MID,right,19890317,68,175,Japan,1,0,1
15024,M. Reus,FWD,right,19890531,71,180,Germany,1,0,1
3314,Á. di María,MID,left,19880214,75,180,Argentina,1,0,1
20433,S. Kjær,DEF,right,19890326,82,189,Denmark,1,0,1
86220,G. Mercado,DEF,right,19870318,83,180,Argentina,1,1,2
120853,F. Sassi,MID,right,19920318,75,177,Tunisia,1,0,1
55979,M. Jørgensen,DEF,right,19900423,79,191,Denmark,1,0,1
25747,S. Mané,FWD,right,19920410,75,175,Senegal,1,0,1
122832,Salem Al Dawsari,MID,right,19910819,72,171,Saudi Arabia,1,0,1
25898,M. Niang,FWD,right,19941219,75,184,Senegal,1,1,2
32597,Ricardo Quaresma,FWD,right,19830926,67,175,Portugal,1,0,1
49997,S. Zuber,MID,right,19910817,79,182,Switzerland,1,0,1
375348,M. Wagué,DEF,right,19981004,70,177,Senegal,1,0,1
122847,Salman Al Faraj,MID,left,19890801,63,179,Saudi Arabia,1,0,1
94650,G. Haraguchi,MID,right,19910509,68,177,Japan,1,0,1
95200,Young-Gwon Kim,DEF,left,19900227,74,184,Korea Republic,1,0,1
128214,A. Mitrović,FWD,right,19940916,82,189,Serbia,1,0,1
3304,Nacho,DEF,right,19900118,76,180,Spain,1,0,1
38093,M. Batshuayi,FWD,right,19931002,78,185,Belgium,1,0,1
50023,J. Drmic,FWD,right,19920808,81,183,Switzerland,1,0,1
101590,A. Dzagoev,MID,right,19900617,75,179,Russia,1,1,2
20764,L. Muriel,FWD,right,19910416,79,178,Colombia,1,0,1
